species.name,dataset,dataset.name,Sub.Activity,UID,Consequence.Score
Eelgrass,eco_plants_eelgrass_biobands_d,eelgrass,BeachSeeding,hu_aq_shellfishaquaculture_beachseeding_d,Potential
Eelgrass,eco_plants_eelgrass_polygons_d,eelgrass,BeachSeeding,hu_aq_shellfishaquaculture_beachseeding_d,Potential
Eelgrass,eco_plants_eelgrass_prioritypolygons_d,eelgrass,BeachSeeding,hu_aq_shellfishaquaculture_beachseeding_d,Potential
Surfgrass,eco_plants_surfgrass_biobands_d,surfgrass,BeachSeeding,hu_aq_shellfishaquaculture_beachseeding_d,Negligible
Ancient Murrelet,eco_birds_ancientmurrelet_colonies_d,ancientmurrelet,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Black Oystercatcher,eco_birds_blackoystercatcher_nestingsites_d,blackoystercatcher,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Brandt's cormorant,eco_birds_brandtscormorant_colonies_d,brandtscormorant,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Cassin's Auklet,eco_birds_cassinsauklet_colonies_d,cassinsauklet,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Common Murre,eco_birds_commonmurre_colonies_d,commonmurre,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Pelagic Cormorant,eco_birds_cormorant_density_m,cormorant,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Pelagic Cormorant,eco_birds_cormorant_densitywinter_m,cormorant,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Goose/Swan,eco_birds_gooseswan_density_m,gooseswan,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Goose/Swan,eco_birds_gooseswan_densitywinter_m,gooseswan,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Great Blue Heron,eco_birds_heron_densitywinter_m,heron,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Great Blue Heron,eco_birds_heron_nestsforaging_m,heron,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Horned Puffin,eco_birds_hornedpuffin_colonies_d,hornedpuffin,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Loon/Grebe,eco_birds_loongrebe_density_d,loongrebe,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Loon/Grebe,eco_birds_loongrebe_densitywinter_d,loongrebe,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Marbled Murrelet,eco_birds_mamu_density_d,mamu,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Marbled Murrelet,eco_birds_mamu_densitywinter_d,mamu,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Murres/Large Alcids,eco_birds_murrelgalcid_density_d,murrelgalcid,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Murres/Large Alcids,eco_birds_murrelgalcid_densitywinter_d,murrelgalcid,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Pelagic cormorant,eco_birds_pelagiccormorant_colonies_d,pelagiccormorant,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Storm Petrel,eco_birds_petrelphalarope_density_d,petrelphalarope,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Pigeon Guillemot,eco_birds_pigeonguillemot_colonies_d,pigeonguillemot,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Pigeon Guillemot,eco_birds_pigeonguillemot_density_m,pigeonguillemot,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Puffins,eco_birds_puffin_density_d,puffin,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Rhinoceros Auklet,eco_birds_rhinocerosauklet_colonies_d,rhinocerosauklet,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
"Sea duck, unspecified",eco_birds_seaduck_densitymoulting_d,seaduck,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
"Sea duck, unspecified",eco_birds_seaduck_densitystaging_d,seaduck,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
"Sea duck, unspecified",eco_birds_seaduck_densitywinter_d,seaduck,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
"Sea duck, unspecified",eco_birds_seaduck_keysites_d,seaduck,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Shearwaters and Fulmars,eco_birds_shearwaterfulmar_density_d,shearwaterfulmar,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Shorebird (rocky),eco_birds_shorebirdrock_density_d,shorebirdrock,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Shorebird (sand),eco_birds_shorebirdsand_density_d,shorebirdsand,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Shorebird (sand),eco_birds_shorebirdsand_keysites_d,shorebirdsand,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Small Alcids,eco_birds_smallalcid_density_d,smallalcid,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Small Alcids,eco_birds_smallalcid_densitywinter_d,smallalcid,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Storm Petrel,eco_birds_stormpetrel_colonies_d,stormpetrel,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Thick-billed Murre,eco_birds_thickbilledmurre_colonies_d,thickbilledmurre,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Tufted Puffin,eco_birds_tuftedpuffin_colonies_d,tuftedpuffin,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Pacific hake ,eco_fish_hake_biomass_d,hake,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Pacific Cod ,eco_fish_pacificcod_phmasyn_m,pacificcod,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Pacific Ocean perch ,eco_fish_pacificoceanperch_syn_m,pacificoceanperch,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Walleye Pollock ,eco_fish_pollock_syn_m,pollock,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Bocaccio,eco_fish_rockfishbocaccio_ccira_d,rockfishbocaccio,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Bocaccio,eco_fish_rockfishbocaccio_phmasyn_m,rockfishbocaccio,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Canary Rockfish,eco_fish_rockfishcanary_ccira_d,rockfishcanary,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Canary Rockfish,eco_fish_rockfishcanary_phmasyn_m,rockfishcanary,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
China rockfish,eco_fish_rockfishchina_ccira_d,rockfishchina,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
China rockfish,eco_fish_rockfishchina_phma_m,rockfishchina,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Copper rockfish,eco_fish_rockfishcopper_phmasyn_m,rockfishcopper,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Darkblotched rockfish,eco_fish_rockfishdarkblotched_syn_m,rockfishdarkblotched,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Greenstriped rockfish,eco_fish_rockfishgreenstriped_phmasyn_m,rockfishgreenstriped,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Quillback Rockfish,eco_fish_rockfishquillback_ccira_d,rockfishquillback,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Quillback Rockfish,eco_fish_rockfishquillback_phmasyn_m,rockfishquillback,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Redstripe rockfish,eco_fish_rockfishredstripe_syn_m,rockfishredstripe,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Rosethorn rockfish,eco_fish_rockfishrosethorn_ccira_d,rockfishrosethorn,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Rosethorn rockfish,eco_fish_rockfishrosethorn_phmasyn_m,rockfishrosethorn,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Rougheye/Blackspotted Rockfish,eco_fish_rockfishrougheyeblackspotted_phmasyn_m,rockfishrougheyeblackspotted,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Shortraker rockfish,eco_fish_rockfishshortraker_phmasyn_m,rockfishshortraker,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Silvergray rockfish,eco_fish_rockfishsilvergray_ccira_d,rockfishsilvergray,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Silvergray rockfish,eco_fish_rockfishsilvergray_phmasyn_m,rockfishsilvergray,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Tiger rockfish,eco_fish_rockfishtiger_ccira_d,rockfishtiger,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Tiger rockfish,eco_fish_rockfishtiger_phma_m,rockfishtiger,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Vermillion rockfish,eco_fish_rockfishvermilion_phma_m,rockfishvermilion,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Widow rockfish,eco_fish_rockfishwidow_syn_m,rockfishwidow,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Yelloweye rockfish,eco_fish_rockfishyelloweye_ccira_d,rockfishyelloweye,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Yelloweye rockfish,eco_fish_rockfishyelloweye_phmasyn_m,rockfishyelloweye,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Yellowmouth rockfish ,eco_fish_rockfishyellowmouth_phmasyn_m,rockfishyellowmouth,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Yellowtail rockfish ,eco_fish_rockfishyellowtail_phmasyn_m,rockfishyellowtail,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Chinook salmon,eco_fish_salmonchinook_diversity_d,salmonchinook,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Longspine Thornyhead,eco_fish_thornyheadlongspine_syn_m,thornyheadlongspine,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Shortspine Thornyhead,eco_fish_thornyheadshortspine_syn_m,thornyheadshortspine,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Dungeness crab ,eco_inverts_dungeness_ia_d,dungeness,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Dungeness crab ,eco_inverts_dungeness_records_d,dungeness,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Deepwater grooved tanner crab,eco_inverts_tannercrabdeep_sab_d,tannercrabdeep,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Blue Whale,eco_mammals_bluewhale_ia_d,bluewhale,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
California sea lion,eco_mammals_californiasealion_haulouts_d,californiasealion,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Dall's Porpoise,eco_mammals_dallsporpoise_density_d,dallsporpoise,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Fin whale,eco_mammals_finwhale_density_d,finwhale,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Fin whale,eco_mammals_finwhale_hsi_d,finwhale,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Northern fur seal,eco_mammals_furseal_ia_d,furseal,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Grey Whale,eco_mammals_greywhale_density_d,greywhale,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Grey Whale,eco_mammals_greywhale_migrationroute_d,greywhale,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Harbour porpoise,eco_mammals_harbourporpoise_density_d,harbourporpoise,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Harbour seal,eco_mammals_harbourseal_haulouts_m,harbourseal,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Humpback Whale,eco_mammals_humpbackwhale_ch_d,humpbackwhale,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Humpback Whale,eco_mammals_humpbackwhale_density_d,humpbackwhale,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Orca NE Pacific Northern Residents,eco_mammals_killerwhaleresident_ch_d,killerwhaleresident,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Orca NE Pacific Northern Residents,eco_mammals_killerwhaleresident_ia_d,killerwhaleresident,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Orca NE Pacific Northern Residents,eco_mammals_killerwhaleresident_potentialch_d,killerwhaleresident,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Orca NE Pacific Transients,eco_mammals_killerwhaletransient_hsi_d,killerwhaletransient,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Minke whale,eco_mammals_minkewhale_density_d,minkewhale,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Higher Potential
Northern Right Whale Dolphin,eco_mammals_northernrightwhaledolphin_density_d,northernrightwhaledolphin,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Pacific white-sided dolphin,eco_mammals_pacificwhitesideddolphin_density_d,pacificwhitesideddolphin,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Sea otter,eco_mammals_seaotter_ia_d,seaotter,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Sea otter,eco_mammals_seaotter_modeledhabitat_d,seaotter,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Sei whale,eco_mammals_seiwhale_ia_d,seiwhale,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Higher Potential
Steller sea lion,eco_mammals_stellersealion_hauloutswinter_m,stellersealion,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Steller sea lion,eco_mammals_stellersealion_hauloutsyearround_m,stellersealion,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Steller sea lion,eco_mammals_stellersealion_rookeries_m,stellersealion,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Eelgrass,eco_plants_eelgrass_biobands_d,eelgrass,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Eelgrass,eco_plants_eelgrass_polygons_d,eelgrass,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Eelgrass,eco_plants_eelgrass_prioritypolygons_d,eelgrass,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Surfgrass,eco_plants_surfgrass_biobands_d,surfgrass,BoatBasedCommWild,hu_re_boatbasedcommercialwildlifeviewing_boatbasedcommwild_d,Potential
Albatrosses,eco_birds_albatross_density_m,albatross,BottomLongline,hu_co_demersalfishing_bottomlongline_d,Higher Potential
Albatrosses,eco_birds_albatross_density_m,albatross,BottomLongline,hu_co_demersalfishing_bottomlongline_d,Higher Potential
Gulls,eco_birds_gull_density_m,gull,BottomLongline,hu_co_demersalfishing_bottomlongline_d,Potential
Gulls,eco_birds_gull_densitywinter_m,gull,BottomLongline,hu_co_demersalfishing_bottomlongline_d,Potential
Shearwaters and Fulmars,eco_birds_shearwaterfulmar_density_d,shearwaterfulmar,BottomLongline,hu_co_demersalfishing_bottomlongline_d,Higher Potential
Shearwaters and Fulmars,eco_birds_shearwaterfulmar_density_d,shearwaterfulmar,BottomLongline,hu_co_demersalfishing_bottomlongline_d,Higher Potential
Arrowtooth flounder,eco_fish_arrowtooth_phmasynsab_m,arrowtooth,BottomLongline,hu_co_demersalfishing_bottomlongline_d,Negligible
Spiny Dogfish,eco_fish_dogfish_phmasyn_m,dogfish,BottomLongline,hu_co_demersalfishing_bottomlongline_d,Higher Potential
Pacific Halibut ,eco_fish_halibut_phmasynsab_m,halibut,BottomLongline,hu_co_demersalfishing_bottomlongline_d,Higher Potential
Lingcod,eco_fish_lingcod_ccira_d,lingcod,BottomLongline,hu_co_demersalfishing_bottomlongline_d,Higher Potential
Lingcod,eco_fish_lingcod_phmasynsab_m,lingcod,BottomLongline,hu_co_demersalfishing_bottomlongline_d,Higher Potential
Pacific Ocean perch ,eco_fish_pacificoceanperch_syn_m,pacificoceanperch,BottomLongline,hu_co_demersalfishing_bottomlongline_d,Negligible
Bocaccio,eco_fish_rockfishbocaccio_ccira_d,rockfishbocaccio,BottomLongline,hu_co_demersalfishing_bottomlongline_d,Negligible
Bocaccio,eco_fish_rockfishbocaccio_phmasyn_m,rockfishbocaccio,BottomLongline,hu_co_demersalfishing_bottomlongline_d,Negligible
Canary Rockfish,eco_fish_rockfishcanary_ccira_d,rockfishcanary,BottomLongline,hu_co_demersalfishing_bottomlongline_d,Potential
Canary Rockfish,eco_fish_rockfishcanary_phmasyn_m,rockfishcanary,BottomLongline,hu_co_demersalfishing_bottomlongline_d,Potential
China rockfish,eco_fish_rockfishchina_ccira_d,rockfishchina,BottomLongline,hu_co_demersalfishing_bottomlongline_d,Higher Potential
China rockfish,eco_fish_rockfishchina_phma_m,rockfishchina,BottomLongline,hu_co_demersalfishing_bottomlongline_d,Higher Potential
Copper rockfish,eco_fish_rockfishcopper_phmasyn_m,rockfishcopper,BottomLongline,hu_co_demersalfishing_bottomlongline_d,Higher Potential
Darkblotched rockfish,eco_fish_rockfishdarkblotched_syn_m,rockfishdarkblotched,BottomLongline,hu_co_demersalfishing_bottomlongline_d,Negligible
Greenstriped rockfish,eco_fish_rockfishgreenstriped_phmasyn_m,rockfishgreenstriped,BottomLongline,hu_co_demersalfishing_bottomlongline_d,Negligible
Quillback Rockfish,eco_fish_rockfishquillback_ccira_d,rockfishquillback,BottomLongline,hu_co_demersalfishing_bottomlongline_d,Higher Potential
Quillback Rockfish,eco_fish_rockfishquillback_phmasyn_m,rockfishquillback,BottomLongline,hu_co_demersalfishing_bottomlongline_d,Higher Potential
Redstripe rockfish,eco_fish_rockfishredstripe_syn_m,rockfishredstripe,BottomLongline,hu_co_demersalfishing_bottomlongline_d,Negligible
Rosethorn rockfish,eco_fish_rockfishrosethorn_ccira_d,rockfishrosethorn,BottomLongline,hu_co_demersalfishing_bottomlongline_d,Higher Potential
Rosethorn rockfish,eco_fish_rockfishrosethorn_phmasyn_m,rockfishrosethorn,BottomLongline,hu_co_demersalfishing_bottomlongline_d,Higher Potential
Rougheye/Blackspotted Rockfish,eco_fish_rockfishrougheyeblackspotted_phmasyn_m,rockfishrougheyeblackspotted,BottomLongline,hu_co_demersalfishing_bottomlongline_d,Higher Potential
Shortraker rockfish,eco_fish_rockfishshortraker_phmasyn_m,rockfishshortraker,BottomLongline,hu_co_demersalfishing_bottomlongline_d,Higher Potential
Silvergray rockfish,eco_fish_rockfishsilvergray_ccira_d,rockfishsilvergray,BottomLongline,hu_co_demersalfishing_bottomlongline_d,Potential
Silvergray rockfish,eco_fish_rockfishsilvergray_phmasyn_m,rockfishsilvergray,BottomLongline,hu_co_demersalfishing_bottomlongline_d,Potential
Tiger rockfish,eco_fish_rockfishtiger_ccira_d,rockfishtiger,BottomLongline,hu_co_demersalfishing_bottomlongline_d,Higher Potential
Tiger rockfish,eco_fish_rockfishtiger_phma_m,rockfishtiger,BottomLongline,hu_co_demersalfishing_bottomlongline_d,Higher Potential
Vermillion rockfish,eco_fish_rockfishvermilion_phma_m,rockfishvermilion,BottomLongline,hu_co_demersalfishing_bottomlongline_d,Higher Potential
Widow rockfish,eco_fish_rockfishwidow_syn_m,rockfishwidow,BottomLongline,hu_co_demersalfishing_bottomlongline_d,Negligible
Yelloweye rockfish,eco_fish_rockfishyelloweye_ccira_d,rockfishyelloweye,BottomLongline,hu_co_demersalfishing_bottomlongline_d,Higher Potential
Yelloweye rockfish,eco_fish_rockfishyelloweye_phmasyn_m,rockfishyelloweye,BottomLongline,hu_co_demersalfishing_bottomlongline_d,Higher Potential
Yellowmouth rockfish ,eco_fish_rockfishyellowmouth_phmasyn_m,rockfishyellowmouth,BottomLongline,hu_co_demersalfishing_bottomlongline_d,Negligible
Yellowtail rockfish ,eco_fish_rockfishyellowtail_phmasyn_m,rockfishyellowtail,BottomLongline,hu_co_demersalfishing_bottomlongline_d,Negligible
Sablefish,eco_fish_sablefish_phmasynsab_m,sablefish,BottomLongline,hu_co_demersalfishing_bottomlongline_d,Higher Potential
Big Skate ,eco_fish_skatebig_phmasyn_m,skatebig,BottomLongline,hu_co_demersalfishing_bottomlongline_d,Higher Potential
Longnose skate,eco_fish_skatelongnose_phmasyn_m,skatelongnose,BottomLongline,hu_co_demersalfishing_bottomlongline_d,Higher Potential
Roughtail skate,eco_fish_skateroughtail_syn_m,skateroughtail,BottomLongline,hu_co_demersalfishing_bottomlongline_d,Higher Potential
Sandpaper skate,eco_fish_skatesandpaper_phmasyn_m,skatesandpaper,BottomLongline,hu_co_demersalfishing_bottomlongline_d,Higher Potential
Longspine Thornyhead,eco_fish_thornyheadlongspine_syn_m,thornyheadlongspine,BottomLongline,hu_co_demersalfishing_bottomlongline_d,Negligible
Shortspine Thornyhead,eco_fish_thornyheadshortspine_syn_m,thornyheadshortspine,BottomLongline,hu_co_demersalfishing_bottomlongline_d,Negligible
Soft corals,eco_inverts_alcyonacea_model_d,alcyonacea,BottomLongline,hu_co_demersalfishing_bottomlongline_d,Potential
Black corals,eco_inverts_antipatharia_model_d,antipatharia,BottomLongline,hu_co_demersalfishing_bottomlongline_d,Potential
Corals,eco_inverts_coralhotspot_ccira,coral,BottomLongline,hu_co_demersalfishing_bottomlongline_d,Potential
Corals,eco_inverts_coral_trawlsyn_d,coral,BottomLongline,hu_co_demersalfishing_bottomlongline_d,Potential
Sea pens,eco_inverts_pennatulacea_model_d,pennatulacea,BottomLongline,hu_co_demersalfishing_bottomlongline_d,Potential
Sea pens,eco_inverts_pennatulacea_trawlsyn_d,pennatulacea,BottomLongline,hu_co_demersalfishing_bottomlongline_d,Potential
Hand or stony corals,eco_inverts_scleractinia_model_d,scleractinia,BottomLongline,hu_co_demersalfishing_bottomlongline_d,Potential
